model,dataset,scale,n,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
Bicubic,bsd100,x16,10,21.98982353811509,0.46423805531670326,0.08123855678925967,0.12207782343029976,0.14152550846338272,0.028373721800744534,0.13394956476986408,4.888325152213651e-07,4.548340269293639e-08,6.980041028445836e-09
Bicubic,bsd100,x30,10,20.019201498446513,0.38710987953761977,0.1011701026764791,0.1389135606586933,0.1617610350251198,0.05627886429429054,0.13709204606711864,1.1192042093910672e-06,6.222930104525218e-08,9.500590269046875e-09
Bicubic,bsd100,x4,10,26.37361478451218,0.7685158816712563,0.05017066485394837,0.08644044026732445,0.0932725265622139,0.008885649711010047,0.12974297367036342,4.490138957558187e-08,3.732191620047085e-08,5.853610827718888e-09
Bicubic,bsd100,x8,10,24.057507658712503,0.605547517204365,0.064824953050291,0.10564053580164909,0.1196387879550457,0.01342775421217084,0.13170123919844628,2.1383005044982389e-07,4.0321044961637876e-08,6.1949815989552735e-09
Bicubic,urban100,x16,10,19.40001576266377,0.3948188222100517,0.11247911014177367,0.16523706093430518,0.19072453081607818,0.0440907699521631,0.18044766187667846,1.9503285986634706e-07,1.5922149436009534e-08,2.454793381523687e-09
Bicubic,urban100,x30,10,18.077111120253523,0.3249326755249197,0.13050653577156673,0.17603251859545707,0.2028975583612919,0.07764401286840439,0.18255907520651818,3.130675185663364e-07,1.7692282274740623e-08,2.750454002552046e-09
Bicubic,urban100,x4,10,23.765680903168867,0.750152237382796,0.06862462762330368,0.11976274400949478,0.12999024465680123,0.010871243197470903,0.17716924101114273,1.9196423605839973e-08,1.4195715260063715e-08,2.214176493869558e-09
Bicubic,urban100,x8,10,21.25820364017821,0.5548934006628335,0.09104418760190039,0.14710906371474267,0.1674545168876648,0.018915130128152668,0.1792951636016369,9.457132757969715e-08,1.4989654066525282e-08,2.2902073070679966e-09
LIIF,bsd100,x16,10,22.76062455219416,0.5098054069061121,0.07505942771930668,0.11832917630672454,0.13375742956995965,0.02044865736970678,0.13387774266302585,3.8854799563086167e-07,4.5376726178443156e-08,6.973669217966072e-09
LIIF,bsd100,x30,10,20.726876717082504,0.41748759941769764,0.09373296103794007,0.13649333044886588,0.15747395232319833,0.03865720462054014,0.13703859448432923,9.212166983596341e-07,6.210578182211153e-08,9.475290111301448e-09
LIIF,bsd100,x4,10,27.660563681631352,0.8190913660099872,0.04384740475872635,0.07494934275746346,0.07868847884237766,0.008141249729669653,0.1254697073251009,1.712132928068442e-08,3.090564660160725e-08,5.717396568361535e-09
LIIF,bsd100,x8,10,24.955564485958398,0.6647556753195176,0.05903304059204861,0.09883407838642597,0.10772188529372215,0.011389726793277077,0.131009978428483,1.4817853660337876e-07,3.921097420820929e-08,6.18989425949736e-09
LIIF,urban100,x16,10,20.287582019598577,0.47907693856901756,0.10247152922564448,0.1588058166205883,0.18002616241574287,0.031121913623064757,0.1803519293665886,1.5165379720514965e-07,1.5912213103618284e-08,2.4537766467625255e-09
LIIF,urban100,x30,10,18.592852604365035,0.35965113816935246,0.12357078220402669,0.17612550184130668,0.20201098546385765,0.05795397316105664,0.1825350381433964,2.726331836084422e-07,1.768619389674945e-08,2.7491072173454784e-09
LIIF,urban100,x4,10,26.45899855066491,0.8523924837895954,0.05141709487670025,0.08833938725292682,0.09246413335204125,0.00864789925981313,0.16150248274207116,3.3572609348688515e-09,8.762946400603117e-09,2.035067101141941e-09
LIIF,urban100,x8,10,22.71695201028887,0.6781713932905288,0.07777893755497423,0.13148463368415833,0.14312560185790063,0.01356515910010785,0.17787813283503057,5.172098016719761e-08,1.4438283092198096e-08,2.289821035162297e-09
